sno,sna,sarea,lng,lat,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
81,捷運台電大樓站(2號出口),大安區,121.528552,25.020547,0.48,0.15,0,0.18,0,0.12,0,0,0.06,0.12,0.35,0.12,0.5,0.71,0.53,0.47,0.74,0.32
82,捷運西門站(3號出口),中正區,121.508693,25.041778,0.71,0.63,0.58,0.61,0.53,0.47,0.63,0.61,0.73,0.78,0.56,0.78,0.56,0.53,0.29,0.22,0.03,0
83,捷運大安森林公園站,大安區,121.535161,25.033156,0.55,0.42,0.11,0.01,0.12,0,0.05,0.7,0.71,0.77,0.61,0.8,0.69,0.74,0.8,0.8,0.76,0.73
84,復華花園新城,萬華區,121.502899,25.029705,0.82,0.32,0.63,0.55,0.47,0.5,0.61,0.53,0.5,0.53,0.68,0.21,0.32,0.76,0.21,0.32,0.39,0.55
85,信義敦化路口,大安區,121.54911,25.033362,0.39,0.26,0.48,0.3,0.26,0.59,0.43,0.48,0.39,0.24,0.33,0.65,0.28,0.09,0.61,0.37,0.26,0.22
86,民權復興路口,松山區,121.545138,25.062344,0.14,0.08,0.08,0.11,0.25,0.36,0.39,0.36,0.33,0.33,0.33,0.31,0.28,0.11,0.31,0.64,1,0.64
87,捷運大安站,大安區,121.543057,25.033078,0.48,0,0.24,0,0.1,0.14,0,0.1,0.48,0.64,0,0,1,0.05,0.64,0.5,0.05,0
88,捷運象山站,信義區,121.57087,25.032922,0.72,0.16,0.02,0.05,0.03,0.08,0.26,0.45,0.4,0.56,0.65,1,0.87,0.63,0.61,0.55,0.37,0.26
89,和平重慶路口,中正區,121.516385,25.027323,0.82,0.61,0.18,0.14,0.16,0.02,0.05,0,0.02,0.05,0.16,0.18,0.16,0.52,0.23,0.3,0.55,0.59
90,老松國小,萬華區,121.501708,25.037783,0.52,0.4,0.21,0.07,0.18,0.14,0.2,0.27,0.27,0.05,0.18,0.11,0.45,0.41,0.32,0.59,0.67,0.71
91,市立美術館,中山區,121.523268,25.070629,0.64,0.64,0.97,0.72,0.78,0.78,0.67,0.86,0.81,0.64,0.61,0.36,0.64,0.53,0.47,0.5,0.47,0.47
92,開封西寧路口,萬華區,121.507169,25.046618,0.21,0.26,0.43,0.07,0.05,0.05,0.29,0.24,0.24,0.19,0.29,0.14,0.43,0.57,0.48,0.31,0.38,0.45
93,吳興公車總站,信義區,121.569836,25.023877,0.66,0.3,0.21,0.77,0.64,0.52,0.52,0.39,0.3,0.28,0.31,0.41,0.36,0.24,0.52,0.57,0.7,0.44
94,捷運景美站,文山區,121.541059,24.993254,0.67,0.22,0.39,0.45,0.39,0.25,0.1,0.39,0.45,0.54,0.62,0.42,0.71,0.87,0.44,0.88,0.29,0.37
95,東園國小,萬華區,121.497679,25.023393,0.43,0.36,0.43,0.41,0.25,0.22,0.12,0.19,0.25,0.12,0.22,0.25,0.97,0.59,0.31,0.44,0.66,0.62
96,三民公園,松山區,121.566558,25.061567,0.68,0.5,0.36,0.31,0.14,0.38,0.34,0.38,0.41,0.45,0.52,0.33,0.43,0.47,0.4,0.57,0.53,0.66
97,捷運劍潭站(2號出口),士林區,121.524721,25.082825,0.69,0.29,0.44,0.29,0.17,0.4,0.52,0.54,0.51,0.33,0.25,0.85,0.83,0.06,0.19,0.08,0,0.19
98,羅斯福景隆街口,文山區,121.540197,24.999378,0.43,0.38,0.33,0.43,0.36,0.21,0.31,0.43,0.45,0.45,0.55,0.55,0.46,0.33,0.48,0.64,0.6,0.69
99,捷運雙連站(2號出口),大同區,121.520711,25.057866,0.46,0.23,0.15,0.45,0.26,0.62,0.88,0.81,0.88,0.86,0.6,0.02,0.4,0.1,0.1,0,0.07,0.12
100,金山市民路口,中正區,121.530697,25.045753,0.41,0.44,0.23,0.1,0.21,0.13,0.05,0.1,0.41,0.15,0.08,0.21,0,0.12,0.1,0.03,0.05,0.28
101,華山文創園區,中正區,121.528487,25.043668,0.22,0.14,0.18,0.24,0.4,0.46,0.52,0.46,0.4,0.46,0.5,0.32,0.4,0.18,0.16,0.2,0.2,0.14
102,臺北市客家文化主題公園,中正區,121.525322,25.02043,0.31,0.12,0.09,0.06,0.06,0,0,0,0.09,0.12,0.03,0.09,0.03,0.06,0.06,0.34,0.53,0.28
103,萬華車站,萬華區,121.503028,25.033639,0.35,0.15,0.3,0.25,0.15,0.13,0.17,0.07,0.03,0.02,0.07,0.3,0.35,0.33,0.35,0.32,0.37,0.33
104,台北花木批發市場,文山區,121.54074,25.004023,0.39,0.89,0.58,0.5,0.42,0.39,0.26,0.18,0.11,0.29,0.26,0.39,0.32,0.58,0.24,0.29,0.29,0.5
105,峨嵋停車場,萬華區,121.505409,25.044412,0.17,0.07,0.24,0.24,0.31,0.17,0.1,0.19,0.19,0.14,0.21,0.14,0.02,0.24,0.19,0.17,0.12,0.05
106,西園艋舺路口,萬華區,121.497674,25.032932,0.45,0.45,0.36,0.25,0.2,0.25,0.25,0.25,0.2,0.25,0.43,0.48,0.66,0.57,0.64,0.64,0.59,0.57
107,捷運小南門站(1號出口),中正區,121.509422,25.036402,0.17,0.46,0.76,0.8,0.76,0.74,0.72,0.83,0.85,0.74,0.67,0.67,0.39,0.3,0.22,0.28,0.07,0.04
108,臺北孔廟,大同區,121.515843,25.073306,0.53,0.5,0.41,0.59,0.44,0.35,0.28,0.12,0.03,0.03,0.03,0.35,0.9,0.35,0.74,0.71,0.74,0.78
109,林安泰古厝,中山區,121.530805,25.071606,0.39,0.42,0.58,0.69,0.67,0.64,0.64,0.72,0.81,0.39,0.36,0.39,0.31,0.33,0.33,0.28,0.28,0.25
110,文湖國小,內湖區,121.560888,25.086376,0.89,0.57,0.3,0.57,0.41,0.77,0.82,0.8,0.61,0.59,0.48,0.45,0.23,0.18,0.23,0.48,0.82,0.55
111,捷運忠孝復興站(2號出口),大安區,121.543497,25.040184,0.85,0.57,0.74,0.54,0.46,0.46,0.72,0.37,0.15,0.13,0.19,0.35,0.31,0.46,0.56,0.22,0.31,0.3
112,捷運新北投站,北投區,121.503124,25.137456,0.64,0.53,0.38,0.23,0.47,0.51,0.36,0.45,0.38,0.17,0.11,0.02,0.35,0.45,0.43,0.42,0.56,0.6
113,仁愛逸仙路口,信義區,121.561178,25.037724,0.69,0.58,0.81,0.74,0.69,0.33,0.25,0.25,0.31,0.17,0.11,0.19,0.03,0,0.22,0.54,0.49,0.46
114,蘭雅公園,士林區,121.530386,25.109908,0.34,0.21,0.38,0.24,0.41,0.14,0.07,0.45,0.52,0.93,0.14,0.21,0.68,0.68,0.54,0,0.04,0.11
115,臺北轉運站,中正區,121.520526,25.048222,0.54,0.37,0.25,0.34,0.4,0.32,0.25,0.24,0.34,0.34,0.46,0.66,0.66,0.57,0.49,0.76,0.28,0.22
116,福林公園,士林區,121.530215,25.096122,0.33,0.28,0.19,0.26,0.3,0.33,0.37,0.4,0.44,0.44,0.44,0.42,0.42,0.49,0.3,0.26,0.26,0.23
117,捷運北投站,北投區,121.498618,25.132581,0.5,0.17,0.64,0.21,0.28,0.43,0.76,0.59,0.57,0.64,0.45,0.62,0.67,0.57,0.53,0.31,0.33,0.12
118,大業大同街口,北投區,121.499152,25.136929,0.47,0.33,0,0.42,0.31,0.47,0.36,0.22,0.22,0.19,0.28,0.31,0.39,0.67,0.28,0.47,0.78,0.89
119,捷運劍南路站(2號出口),中山區,121.555116,25.08418,0.04,0.29,0.48,0,0.11,0.27,0.34,0.52,0.55,0.39,0.48,0.21,0.49,0.3,0.16,0,0,0.02
120,捷運龍山寺站(1號出口),萬華區,121.50026,25.035479,0.67,0.57,0.59,0.87,0.11,0.28,0.26,0.09,0.22,0.27,0.47,0.42,0.11,0.29,0.11,0.18,0.07,0
121,龍江南京路口,中山區,121.540568,25.05298,0.2,0.38,0.55,0.48,0.65,0.7,0.66,0.67,0.67,0.77,0.77,0.61,0.26,0.27,0.15,0.06,0.05,0.11
122,捷運港墘站(2號出口),內湖區,121.57584,25.079666,0.64,0.34,0.02,0,0,0.1,0.02,0,0,0,0.1,0.48,0.88,0.6,0.42,0.46,0.3,0.26
123,天母運動公園,士林區,121.534136,25.116325,0.52,0.43,0.5,0.66,0.64,0.52,0.48,0.55,0.57,0.61,0.55,0.57,0.41,0.41,0.55,0.64,0.66,0.73
124,振華公園,北投區,121.518163,25.115863,0.6,0.31,0.17,0.14,0.14,0.14,0.17,0.11,0.06,0.06,0.09,0.06,0.29,0.23,0.4,0.4,0.31,0.29
125,華西公園,萬華區,121.498495,25.038609,0.6,0.33,0.17,0.1,0.13,0.1,0.1,0.1,0.17,0.13,0.07,0.27,0.57,0.87,0.9,0.43,0.83,0.77
126,敦化基隆路口,大安區,121.548336,25.022073,0.2,0.37,0.4,0.37,0.5,0.33,0.13,0.63,0.7,0.47,0.4,0.72,0,0.37,0.23,0.07,0.03,0.1
127,東湖國中,內湖區,121.619521,25.073277,0.3,0.33,0.42,0.33,0.33,0.23,0.05,0.12,0.12,0.15,0.12,0.03,0.2,0.42,0.15,0.17,0.28,0.33
